ID,ORDER_ID,SKU,QUANTITY,PRICE
a759c7b8-d2bd-4ef9-bc7d-08739bc44987,a74f85d9-7ae7-4599-9caa-a7b0d11fde91,BEV-002,6,209.92
30cea087-09bc-4f5e-a6df-d5f5d1263798,6f4a2682-9f10-4edb-bf97-763930c5a2e0,BEV-003,8,272.5
8ec9c5df-5c15-431d-90fc-03713c6c508c,01b74769-2c29-4542-a7d0-a27692ad7399,BEV-003,4,517.46
a8eb5c3b-eafb-4223-a864-642e6bb3b8c5,b90a6d69-694f-4420-b242-df3d65b95d5a,BEV-003,5,211.95
7d05990b-79cd-4c4c-98c0-3747e7c418c0,c8309ef1-738f-4c7a-8f49-2f0d3b5c3d0b,BEV-001,8,369.68
a1d9dc91-30f6-4a8d-a23d-22b20fa3f3ba,0348aa20-6cee-43d7-b084-d5a2728e788c,BEV-005,6,842.84
ef9527e5-a763-4ed6-b913-0bd7a8949ec7,0348aa20-6cee-43d7-b084-d5a2728e788c,BEV-005,6,847.0
14040f3a-5f47-4ef2-8b3a-8a56d349f67e,6f605b52-d327-46fc-864b-001d9b39bd20,BEV-001,1,750.45
76cdfa2b-b8ad-4d89-a5b4-7084befa1af4,ce2374ac-4154-41cd-af21-ffd3682a94f7,BEV-002,10,138.07
25c50f74-f553-457c-b83a-040716377e57,316627a5-605c-45b8-acaa-462d44990c20,BEV-001,8,277.89
cdf7b228-76da-4eeb-a21e-ab222529c11b,02bb66ec-9382-4661-bfca-ca2ac46c865b,BEV-005,8,898.79
0f267ca3-ed58-4cd8-b7ab-f91029f41b6c,9bc9cc9c-bad2-469c-b2ce-e978ce1fcf5c,BEV-005,2,314.7
98cd0282-b609-4d3f-89ec-3a3bdcd60d14,5030bb26-2820-4ac0-b879-67a856d11bef,BEV-002,10,114.33
ab07e441-4a26-4495-99cb-a38c52aae4a7,f3022c4d-bbb2-4242-a681-93dd40236966,BEV-001,8,303.85
afb67aa7-c67d-40e2-a686-065b3fe40494,0d335d04-4df1-4dc6-9bd9-a90d8c31f8d1,BEV-002,9,814.73
52296ef4-e512-40c0-8d09-4e2bd085a077,a1dfd447-962f-46c6-82d1-ee046a01d4bd,BEV-001,2,410.85
57e20662-e368-425c-8560-4df2f0698a2d,63b2d415-869e-49fd-9ff4-b2496e0ce298,BEV-003,10,837.78
b199dbf9-e384-4c88-a0cf-675efaa036ca,899ac569-5e56-4e1c-bc45-7fade7e4c0c1,BEV-004,3,939.49
4ff1ceea-a938-4e54-8fc6-31e5498543cf,34c6ff1b-499f-4543-8999-a262ef8cf7c7,BEV-004,10,428.27
cdddfa8c-61b5-4fc7-87dc-5252e6b2fe10,7796aee8-49b1-4d87-b185-5880db976e9e,BEV-001,10,339.13
09b672a2-bb80-442e-bd2e-063e1face6fa,8689ef16-8379-46b1-9dde-fcad3d0c3816,BEV-002,8,315.54
66666b0f-aadf-434d-8794-01188adddc24,82779527-adc6-467e-8c9b-653e56c60f17,BEV-001,5,77.51
935656fd-0479-4db3-821e-b5896acf2da0,2b1bc582-5bc8-405c-ac7d-b851373ce88e,BEV-005,1,588.52
305c2dcc-e8e5-4e96-819b-55223d2279d4,d73e16cc-07ed-4ead-8785-fdcd21b4870f,BEV-003,7,544.06
90e8ff51-3498-4eda-99f7-ead33953b978,d73e16cc-07ed-4ead-8785-fdcd21b4870f,JAF-002,6,83.85
614a8f13-3b67-408f-b54a-896870d8ba7f,36b6a35e-3c38-446b-a5da-99a8ff9ccc57,BEV-003,6,287.47
7b2ceaea-8537-4cc8-9e50-d4b49da49f65,324df081-85c0-4334-b966-43bc89af78fb,BEV-004,10,477.61
6b252157-0e12-4352-b881-dd897d02775e,7a3c6c2b-724c-4311-86ee-6162820a812e,BEV-004,3,559.65
cf1eb396-c683-4f14-a551-c144cfbe6e39,cc968cec-e62e-48c3-8dae-f73fb40c9941,BEV-001,2,272.87
cca52e5e-131c-4249-bd74-e232435f8042,cc968cec-e62e-48c3-8dae-f73fb40c9941,JAF-002,9,654.82
8ee2c892-7610-409e-80fc-1a5c6570ae08,ac65e1f8-b07e-43c0-aed8-76711f742c8b,BEV-005,8,401.84
